  temp = 35.543537, state = 0   elsetemp = 35.543537    temp = 35.543537, state = 1
temp = 35.885075, state = 1     elsetemp = 35.885075    temp = 35.885075, state = 0
  temp = 35.709755, state = 0   elsetemp = 35.709755    temp = 35.709755, state = 1
 temp = 35.946472, state = 1    elsetemp = 35.946472    temp = 35.946472, state = 0
 temp = 35.559937, state = 0    elsetemp = 35.559937    temp = 35.559937, state = 1
 temp = 35.672218, state = 1    elsetemp = 35.672218    temp = 35.672218, state = 0
temp = 35.216251, state = 0     elsetemp = 35.216251    temp = 35.216251, state = 1
  temp = 34.973011, state = 0   temp = 34.973011, state = 1
 temp = 35.230003, state = 1    elsetemp = 35.230003    temp = 35.230003, state = 0
 temp = 34.857433, state = 0    temp = 34.857433, state = 1
 temp = 35.206646, state = 1    elsetemp = 35.206646    temp = 35.206646, state = 0
 temp = 35.202095, state = 1    elsetemp = 35.202095    temp = 35.202095, state = 0
 temp = 35.015041, state = 0    elsetemp = 35.015041    temp = 35.015041, state = 1
  temp = 35.152611, state = 1   elsetemp = 35.152611    temp = 35.152611, state = 0
temp = 35.018883, state = 0     elsetemp = 35.018883    temp = 35.018883, state = 1
temp = 35.224129, state = 0     elsetemp = 35.224129    temp = 35.224129, state = 1
temp = 35.624096, state = 1     elsetemp = 35.624096    temp = 35.624096, state = 0
temp = 35.276375, state = 0     elsetemp = 35.276375    temp = 35.276375, state = 1
 temp = 35.521244, state = 1    elsetemp = 35.521244    temp = 35.521244, state = 0
 temp = 35.229733, state = 1    elsetemp = 35.229733    temp = 35.229733, state = 0
 temp = 34.968353, state = 1    temp = 34.968353, state = 1
 temp = 35.117695, state = 1    elsetemp = 35.117695    temp = 35.117695, state = 0
   temp = 34.704983, state = 1  temp = 34.704983, state = 1
  temp = 35.017025, state = 1   elsetemp = 35.017025    temp = 35.017025, state = 0
temp = 34.581940, state = 0     temp = 34.581940, state = 1
  temp = 34.909615, state = 1   temp = 34.909615, state = 1
temp = 34.874741, state = 0     temp = 34.874741, state = 1
 temp = 34.980835, state = 1    temp = 34.980835, state = 1
 temp = 35.104122, state = 1    elsetemp = 35.104122    temp = 35.104122, state = 0
temp = 34.486362, state = 0     temp = 34.486362, state = 1
 temp = 35.102993, state = 1    elsetemp = 35.102993    temp = 35.102993, state = 0
temp = 34.872192, state = 0     temp = 34.872192, state = 1
temp = 35.177917, state = 1     elsetemp = 35.177917    temp = 35.177917, state = 0
temp = 34.944122, state = 0     temp = 34.944122, state = 1
temp = 34.522255, state = 0     temp = 34.522255, state = 1
temp = 34.524990, state = 1     temp = 34.524990, state = 1
temp = 34.753353, state = 1     temp = 34.753353, state = 1
 temp = 35.113861, state = 1    elsetemp = 35.113861    temp = 35.113861, state = 0
temp = 35.186592, state = 1     elsetemp = 35.186592    temp = 35.186592, state = 0
 temp = 34.785633, state = 0    temp = 34.785633, state = 1
 temp = 35.035175, state = 1    elsetemp = 35.035175    temp = 35.035175, state = 0
temp = 34.816368, s   ptemp = 34.661945, state = 0      temp = 34.661945, state = 1
 temp = 34.997913, state = 1    temp = 34.997913, state = 1
 temp = 35.179249, state = 1    elsetemp = 35.179249    temp = 35.179249, state = 0
temp = 34.746567, state = 0     temp = 34.746567, state = 1
   temp = 34.781876, state = 0  temp = 34.781876, state = 1
 temp = 34.415508, state = 0    temp = 34.415508, state = 1
temp = 34.593853, state = 1     temp = 34.593853, state = 1
 temp = 34.696838, state = 1    temp = 34.696838, state = 1
temp = 34.810272, state = 1     temp = 34.810272, state = 1
temp = 34.716469, state = 1     temp = 34.716469, state = 1
 temp = 34.565994, state = 1    temp = 34.565994, state = 1
 temp = 34.848030, state = 1    temp = 34.848030, state = 1
 temp = 35.048981, state = 1    elsetemp = 35.048981    temp = 35.048981, state = 0
  temp = 34.644432, state = 0   temp = 34.6444temp = 34.936378, state = 1       temp = 34.936378, state = 1
 temp = 34.634247, state = 0    temp = 34.634247, state = 1
temp = 34.681293, state = 1     temp = 34.681293, state = 1
 temp = 34.637798, state = 1    temp = 34.637798, state = 1
 temp = 34.794880, state = 1    temp = 34.794880, state = 1
temp = 34.581856, state = 1     temp = 34.581856, state = 1
  temp = 34.627895, state = 1   temp = 34.627895, state = 1
temp = 34.872875, state = 1     temp = 34.872875, state = 1
 temp = 35.135941, state = 1    elsetemp = 35.135941    temp = 35.135941, state = 0
 temp = 35.030209, state = 1    elsetemp = 35.030209    temp = 35.030209, state = 0
 temp = 34.652088, state = 0    temp = 34.652088, state = 1
 temp = 34.864788, state = 1    temp = 34.864788, state = 1
temp = 35.059818, state temp = 34.930923, state = 1     temp = 34.930923, state = 1
 temp = 34.913425, state = 1    temp = 34.913425, state = 1
  temp = 35.120979, state = 1   elsetemp = 35.120979    temp = 35.120979, state = 0
temp = 34.736912, state = 0     temp = 34.736912, state = 1
  temp = 34.601410, state = 0   temp = 34.601410, state = 1
 temp = 35.022564, state = 1    elsetemp = 35.022564    temp = 35.022564, state = 0
 temp = 34.617702, state = 0    temp = 34.617702, state = 1
 temp = 34.793884, state = 1    temp = 34.793884, state = 1
  temp = 34.511501, state = 1   temp = 34.511501, state = 1
  temp = 34.575760, state = 1   temp = 34.575760, state = 1
 temp = 34.649361, state = 1    temp = 34.649361, state = 1
 temp = 34.418949, state = 1    temp = 34.418949, state = 1
  temp = 34.545277, state = 1   temp = 34.545277, state = 1
temp = 34.407051, state = 1     temp = 34.407051, state = 1
 te temp = 34.910751, state = 1 temp = 34.910751, state = 1
 temp = 34.546761, state = 0    temp = 34.546761, state = 1
 temp = 34.794029, state = 1    temp = 34.794029, state = 1
 temp = 34.987812, state = 1    temp = 34.987812, state = 1
 temp = 35.039394, state = 1    elsetemp = 35.039394    temp = 35.039394, state = 0
   temp = 34.497772, state = 1  temp = 34.497772, state = 1
  temp = 34.610535, state = 1   temp = 34.610535, state = 1
temp = 34.557896, state = 1     temp = 34.557896, state = 1
temp = 34.362076, state = 1     temp = 34.362076, state = 1
temp = 34.377758, state = 1     temp = 34.377758, state = 1
  temp = 34.281456, state = 1   temp = 34.281456, state = 1
  temp = 34.254604, state = 1   temp = 34.254604, state = 1
temp = 34.562107, state = 1     temp = 34.562107, state = 1
 temp = 34.809883, state = 1    temp = 34.809883, state = 1
 temp = 34.946491, state = 1    temp = 34.946491, state = 1
temp = 34.883930, state = 1     temp = 34.883930, state = 1
 temp = 34.986702, state = 1    temp = 34.986702, state = 1
  temp = 35.064308, state = 1   elsetemp = 35.064308    temp = 35.064308, state = 0
temp = 34.678959, state = 0     temp = 34.678959, state = 1
 temp = 34.879913, state = 1    temp = 34.879913, state = 1
   temp = 34.677971, state = 0  temp = 34.677971, state = 1
temp = 34.990044, state = 1     temp = 34.990044, state = 1
 temp = 34.897800, state = 1    temp = 34.897800, state = 1
temp = 34.548676, state = 1     temp = 34.548676, state = 1
   temp = 34.516552, state = 1  temp = 34.516552, state = 1
temp = 34.735229, state = 1     temp = 34.735229, state = 1
 te  temp = 34.981071, state = 1        temp = 34.981071, state = 1
  temp = 34.302410, state = 0   temp = 34.302410, state = 1
 temp = 34.258839, state = 1    temp = 34.258839, state = 1
 temp = 34.358650, state = 1    temp = 34.358650, state = 1
 temp = 34.453434, state = 1    temp = 34.453434, state = 1
 temp = 34.341721, state = 1    temp = 34.341721, state = 1
 temp = 34.648331, state = 1    temp = 34.648331, state = 1
temp = 34.674660, state = 1     temp = 34.674660, state = 1
 ptemp = 34.634117, state = 1   temp = 34.634117, state = 1
   temp = 34.423611, state = 1  temp = 34.423611, state = 1
 temp = 34.606102, state = 1    temp = 34.606102, state = 1

